"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"62066","서울특별시 강동구 길동","415-16","0415","0016","청광플러스원큐브3차","월세","13.2650","202601","17","500","60","9","2014","진황도로 87","202602~202802","신규","-","","","아파트"
"62067","서울특별시 강동구 길동","53","0053","0000","삼익파크맨션","월세","151.4400","202601","17","2,000","100","5","1982","명일로 293","202603~202612","신규","-","","","아파트"
"62068","서울특별시 서초구 우면동","789","0789","0000","호반써밋서초파크뷰","전세","84.9500","202601","17","80,000","0","6","2013","양재대로2길 11","202602~202802","갱신","-","75,000","0","아파트"
"62069","서울특별시 서초구 우면동","773","0773","0000","서초힐스","월세","74.9700","202601","17","28,000","170","5","2012","양재대로2길 90","202601~202701","갱신","사용","28,000","170","아파트"
"62070","서울특별시 송파구 가락동","913","0913","0000","헬리오시티","전세","84.9900","202601","17","107,100","0","13","2018","송파대로 345","202602~202802","갱신","사용","102,000","0","아파트"
"62071","서울특별시 송파구 가락동","140","0140","0000","가락(1차)쌍용아파트","월세","84.6900","202601","17","60,000","100","12","1997","동남로 193","202603~202803","신규","-","","","아파트"
"62072","서울특별시 송파구 가락동","140","0140","0000","가락(1차)쌍용아파트","전세","84.6900","202601","17","80,000","0","6","1997","동남로 193","202602~202802","갱신","-","65,000","0","아파트"
"62073","서울특별시 송파구 가락동","165","0165","0000","래미안파크팰리스","월세","84.8850","202601","17","52,500","126","11","2007","동남로 225","202601~202801","갱신","사용","50,000","120","아파트"
"62074","서울특별시 송파구 가락동","913","0913","0000","헬리오시티","월세","110.6600","202601","17","130,000","120","27","2018","송파대로 345","202601~202801","갱신","-","130,000","70","아파트"
"62075","서울특별시 송파구 가락동","165","0165","0000","래미안파크팰리스","월세","59.9680","202601","17","25,000","240","13","2007","동남로 225","202603~202803","신규","-","","","아파트"
"62076","서울특별시 송파구 가락동","913","0913","0000","헬리오시티","전세","84.9900","202601","17","120,000","0","11","2018","송파대로 345","202604~202804","신규","-","","","아파트"
"62077","서울특별시 송파구 가락동","913","0913","0000","헬리오시티","전세","84.9800","202601","17","115,500","0","21","2018","송파대로 345","202602~202802","갱신","사용","110,000","0","아파트"
"62078","서울특별시 송파구 가락동","913","0913","0000","헬리오시티","전세","39.1000","202601","17","59,800","0","8","2018","송파대로 345","202602~202802","신규","-","","","아파트"
"62079","서울특별시 송파구 가락동","70-19","0070","0019","대림","월세","68.7800","202601","17","55,000","20","13","1988","송이로 88","202602~202802","갱신","-","55,000","20","아파트"
"62080","서울특별시 송파구 가락동","70-19","0070","0019","대림","월세","68.7800","202601","17","55,000","20","13","1988","송이로 88","202602~202802","갱신","-","46,000","0","아파트"
