"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"52","서울특별시 송파구 석촌동","155-6","0155","0006","석촌호수빌라","전세","56.4000","202604","28","35,000","0","2","1990","석촌호수로20길 14","202610~202810","신규","-","","","연립다세대"
"53","서울특별시 송파구 마천동","348-1","0348","0001","성하빌라(가동)","전세","40.9500","202604","28","16,000","0","3","1986","성내천로33나길 4","202605~202805","신규","-","","","연립다세대"
"54","서울특별시 송파구 삼전동","166","0166","0000","(166-0)","월세","33.5900","202604","28","11,000","30","2","2003","삼학사로9길 29","202606~202806","신규","-","","","연립다세대"
"55","서울특별시 송파구 삼전동","167-11","0167","0011","진민하우스","월세","21.2800","202604","28","500","57","3","2003","백제고분로32길 30-4","202605~202705","신규","-","","","연립다세대"
"56","서울특별시 강동구 명일동","352-20","0352","0020","352-20","월세","29.3800","202604","28","22,570","4","2","2018","양재대로122가길 76-1","202606~202806","갱신","-","22,570","0","연립다세대"
"57","서울특별시 송파구 문정동","47-4","0047","0004","다솜","전세","44.6200","202604","28","22,000","0","5","2009","문정로1길 15-8","202606~202806","신규","-","","","연립다세대"
"58","서울특별시 서초구 서초동","1512-2","1512","0002","서초동아크리움2차","월세","52.7400","202604","28","45,000","100","2","2022","명달로22길 52","202606~202806","신규","-","","","연립다세대"
"59","서울특별시 강동구 암사동","449-11","0449","0011","양지빌라B동(449-11)","월세","41.5000","202604","28","13,000","15","1","1986","아리수로 72-1","202605~202805","갱신","-","13,000","0","연립다세대"
"60","서울특별시 송파구 석촌동","12-2","0012","0002","COZYOOM(12-2)","월세","34.3100","202604","28","3,000","63","2","2002","삼학사로16길 8","202605~202705","갱신","-","2,000","63","연립다세대"
"61","서울특별시 송파구 문정동","49-3","0049","0003","바움하우스","월세","24.7600","202604","28","7,000","56","2","2011","동남로2길 21-10","202605~202805","신규","-","","","연립다세대"
"62","서울특별시 송파구 가락동","134-13","0134","0013","(134-13)","월세","24.3400","202604","28","1,000","61","2","2015","동남로13길 23-10","202605~202805","신규","-","","","연립다세대"
"63","서울특별시 송파구 방이동","129-8","0129","0008","승경리치빌","월세","33.9000","202604","28","16,000","6","3","2005","가락로34길 5-18","202606~202806","신규","-","","","연립다세대"
"64","서울특별시 송파구 방이동","106-8","0106","0008","퍼스트초이스방이","전세","22.8500","202604","28","26,000","0","2","2022","오금로17길 30","202606~202806","신규","-","","","연립다세대"
"65","서울특별시 송파구 가락동","104-4","0104","0004","선인빌라","월세","33.5800","202604","28","3,000","55","4","2004","동남로3길 11-12","202605~202805","갱신","-","3,000","50","연립다세대"
"66","서울특별시 서초구 양재동","368-3","0368","0003","현경빌라","월세","45.6000","202604","28","29,400","10","2","1988","동산로6길 33-18","202604~202804","갱신","-","29,400","0","연립다세대"
"67","서울특별시 강동구 고덕동","153-1","0153","0001","삼도주택","월세","41.1700","202604","28","9,450","15","3","1986","고덕로79길 126-12","202605~202805","갱신","-","9,450","0","연립다세대"
"68","서울특별시 송파구 석촌동","171-17","0171","0017","잠실하이츠빌","월세","46.5600","202604","28","10,000","75","2","2004","백제고분로39길 13-13","202604~202804","갱신","-","7,000","75","연립다세대"
"69","서울특별시 송파구 석촌동","268-20","0268","0020","(268-20)","월세","89.9600","202604","28","500","50","5","2004","가락로11길 16-20","202604~202804","신규","-","","","연립다세대"
"70","서울특별시 서초구 반포동","703-3","0703","0003","노바월드(703-3)","전세","19.5900","202604","28","16,000","0","5","2011","신반포로42길 2","202606~202806","신규","-","","","연립다세대"
"71","서울특별시 강동구 고덕동","194-3","0194","0003","젠트리하임Ⅰ","월세","47.6600","202604","28","3,799","39","4","2021","상일로15길 34-20","202605~202804","갱신","-","3,657","38","연립다세대"
"72","서울특별시 강동구 성내동","564-1","0564","0001","강남리치빌","전세","14.2500","202604","28","12,500","0","2","2018","성안로3길 72-10","202605~202805","신규","-","","","연립다세대"
"73","서울특별시 강동구 성내동","432-10","0432","0010","동양아트빌","월세","34.6100","202604","28","2,000","56","4","2002","강동대로53길 83-11","202604~202804","갱신","-","2,000","53","연립다세대"
"74","서울특별시 강동구 성내동","383-12","0383","0012","화영주택","월세","27.4200","202604","28","20,400","25","3","2016","성안로 111","202605~202805","갱신","사용","20,400","20","연립다세대"
"75","서울특별시 강동구 길동","369-2","0369","0002","새봄빌라","전세","29.5600","202604","28","22,000","0","2","2013","천중로42길 15","202604~202804","신규","-","","","연립다세대"
"76","서울특별시 강동구 고덕동","278-3","0278","0003","럭스빌","전세","24.8800","202604","28","22,000","0","4","2026","아리수로76길 20","202606~202806","신규","-","","","연립다세대"
"77","서울특별시 송파구 방이동","156-12","0156","0012","(156-12)","전세","26.4500","202604","28","15,400","0","2","2014","백제고분로50길 30-11","202606~202806","신규","-","","","연립다세대"
"78","서울특별시 서초구 양재동","289-2","0289","0002","(289-2)","전세","75.0000","202604","28","39,600","0","1","1999","논현로11길 9","202604~202804","갱신","사용","38,000","0","연립다세대"
"79","서울특별시 강동구 둔촌동","483-12","0483","0012","한솔하이빌","전세","55.1900","202604","28","25,000","0","5","2003","양재대로100길 30","202604~202804","신규","-","","","연립다세대"
"80","서울특별시 송파구 삼전동","133-8","0133","0008","동연빌라(133-8)","월세","33.9200","202604","28","2,000","66","1","1991","백제고분로31길 2-4","202604~202804","신규","-","","","연립다세대"
"81","서울특별시 송파구 삼전동","58","0058","0000","(58-0)","월세","54.9300","202604","28","17,500","37","4","2002","백제고분로28길 16-21","202606~202806","갱신","-","17,500","33","연립다세대"
"82","서울특별시 송파구 삼전동","47-18","0047","0018","스위스리츠빌","월세","49.4600","202604","28","30,000","30","3","2002","백제고분로22길 7-17","202605~202805","신규","-","","","연립다세대"
"83","서울특별시 송파구 송파동","111-46","0111","0046","111-46","월세","26.6600","202604","28","20,000","40","3","2016","백제고분로42길 17-18","202606~202806","신규","-","","","연립다세대"
"84","서울특별시 영등포구 양평동6가","10-12","0010","0012","양평도담빌C","월세","29.9800","202604","28","12,000","55","3","2016","양평로28나길 10-1","202606~202806","신규","-","","","연립다세대"
"85","서울특별시 강서구 내발산동","671-21","0671","0021","한울뜨란채","월세","29.9200","202604","28","3,000","90","3","2012","우장산로 24-21","202605~202805","신규","-","","","연립다세대"
"86","서울특별시 동작구 사당동","314-12","0314","0012","스튜디오사당19","월세","27.7000","202604","28","4,944","11","4","2021","사당로20나길 58-8","202605~202804","갱신","-","2,361","24","연립다세대"
"87","서울특별시 동작구 사당동","309-30","0309","0030","화이트빌(309-30)","월세","28.5800","202604","28","2,000","70","5","2014","사당로22나길 81","202604~202804","신규","-","","","연립다세대"
"88","서울특별시 구로구 개봉동","308-9","0308","0009","새롬하우스(308-9)","전세","59.1900","202604","28","16,000","0","2","2002","개봉로17나길 94","202606~202806","신규","-","","","연립다세대"
"89","서울특별시 영등포구 신길동","95-270","0095","0270","(95-270)","월세","18.7300","202604","28","3,000","50","4","2012","도신로64길 19","202605~202705","신규","-","","","연립다세대"
"90","서울특별시 영등포구 양평동4가","214","0214","0000","소미골드라인Ⅱ","월세","22.7800","202604","28","24,600","20","11","2019","선유로53길 34","202605~202805","갱신","-","23,940","20","연립다세대"
"91","서울특별시 영등포구 양평동4가","266-6","0266","0006","유양리버빌","전세","54.6900","202604","28","25,000","0","2","2012","선유로55길 5","202605~202612","신규","-","","","연립다세대"
"92","서울특별시 송파구 송파동","102-14","0102","0014","자인","월세","29.8900","202604","28","8,000","69","3","2019","송이로4길 2","202607~202807","신규","-","","","연립다세대"
"93","서울특별시 영등포구 도림동","205-2","0205","0002","새롬빌","월세","29.0800","202604","28","19,000","70","3","2024","도영로11길 9-1","202605~202805","신규","-","","","연립다세대"
"94","서울특별시 관악구 신림동","355","0355","0000","화원그린빌라","전세","67.6200","202604","28","15,000","0","-1","1993","양지길 67","202604~202804","신규","-","","","연립다세대"
"95","서울특별시 관악구 신림동","598-24","0598","0024","성화주택가동","월세","54.1400","202604","28","5,000","60","3","1991","법원단지5라길 15","202604~202804","신규","-","","","연립다세대"
"96","서울특별시 서초구 방배동","855-19","0855","0019","(855-19)","전세","24.4200","202604","28","21,400","0","2","2014","방배로25길 42-25","202605~202805","갱신","사용","20,400","0","연립다세대"
"97","서울특별시 강서구 화곡동","167-45","0167","0045","태영주택2","전세","39.2400","202604","28","9,700","0","2","1991","곰달래로35길 131","202606~202806","갱신","-","9,700","0","연립다세대"
"98","서울특별시 송파구 송파동","43-1","0043","0001","렉스프라자","전세","59.0000","202604","28","30,000","0","5","2003","백제고분로45길 11","202605~202805","갱신","-","28,000","0","연립다세대"
"99","서울특별시 강서구 화곡동","778-9","0778","0009","동원힐하우스","월세","12.6000","202604","28","1,000","52","4","2011","곰달래로57길 10-4","202604~202704","신규","-","","","연립다세대"
"100","서울특별시 구로구 개봉동","342-2","0342","0002","대우스위트힐(342-2)","월세","29.9200","202604","28","13,000","50","4","2021","개봉로11길 46-37","202605~202805","신규","-","","","연립다세대"
"101","서울특별시 서초구 방배동","916-27","0916","0027","데코아트빌7차","전세","25.2100","202604","28","35,800","0","3","2018","효령로25길 5","202607~202806","신규","-","","","연립다세대"
"102","서울특별시 동작구 신대방동","474-2","0474","0002","신흥하이츠빌라","월세","54.8900","202604","28","6,000","70","3","2002","여의대방로10가길 8","202606~202806","신규","-","","","연립다세대"
"103","서울특별시 동작구 신대방동","366-1","0366","0001","대명빌라","전세","64.4900","202604","28","31,100","0","3","1998","여의대방로22나길 75","202605~202805","갱신","사용","31,100","0","연립다세대"
"104","서울특별시 관악구 신림동","241-99","0241","0099","쏠시티","월세","29.2500","202604","27","6,000","83","5","2018","신림로11길 12","202605~202705","갱신","-","6,000","70","연립다세대"
"105","서울특별시 관악구 신림동","343-5","0343","0005","(343-5)","전세","41.2800","202604","27","10,000","0","1","1987","광신5길 7","202604~202804","신규","-","","","연립다세대"
"106","서울특별시 영등포구 양평동1가","194-1","0194","0001","우성하임","전세","28.7300","202604","27","26,900","0","4","2019","선유서로24길 26","202606~202806","신규","-","","","연립다세대"
"107","서울특별시 관악구 신림동","412-22","0412","0022","대호빌라","전세","44.4600","202604","27","15,000","0","4","1993","문성로38길 28","202605~202805","갱신","-","15,000","0","연립다세대"
"108","서울특별시 관악구 신림동","1415-7","1415","0007","1415-7","월세","22.4400","202604","27","5,000","90","5","2016","신림로70길 69","202606~202806","신규","-","","","연립다세대"
"109","서울특별시 관악구 신림동","103-230","0103","0230","으뜸캐슬","월세","24.9800","202604","27","3,000","125","2","2022","서림7길 66","202604~202804","신규","-","","","연립다세대"
"110","서울특별시 구로구 구로동","807-50","0807","0050","(807-50)","월세","32.2200","202604","27","1,000","60","3","1996","구로동로 86-5","202604~202804","신규","-","","","연립다세대"
"111","서울특별시 관악구 신림동","1446-3","1446","0003","신림서희빌(1446-3)","월세","32.1000","202604","27","5,000","55","5","2006","관천로26길 21","202605~202805","신규","-","","","연립다세대"
"112","서울특별시 강서구 방화동","574-6","0574","0006","오누리빌","월세","28.6200","202604","27","15,000","10","4","2014","양천로24가길 27","202604~202704","갱신","-","15,000","7","연립다세대"
"113","서울특별시 동작구 상도동","299-43","0299","0043","명성하우스","전세","29.7500","202604","27","27,000","0","2","2017","국사봉6길 4-6","202605~202805","신규","-","","","연립다세대"
"114","서울특별시 동작구 상도동","156-20","0156","0020","동화하우스","월세","17.5400","202604","27","11,500","30","4","2012","상도로34길 32","202605~202805","신규","-","","","연립다세대"
"115","서울특별시 강서구 공항동","662-3","0662","0003","하나타운","전세","56.4400","202604","27","24,000","0","4","2012","방화대로7나길 4-11","202606~202806","신규","-","","","연립다세대"
"116","서울특별시 서초구 방배동","807-22","0807","0022","방배하이빌10차","전세","44.5400","202604","27","57,700","0","6","2020","동광로22길 7","202605~202805","갱신","사용","55,000","0","연립다세대"
"117","서울특별시 관악구 남현동","602-57","0602","0057","더트라이앵글3(602-57)","전세","29.9100","202604","27","12,000","0","5","2015","승방6길 10","202606~202806","신규","-","","","연립다세대"
"118","서울특별시 동작구 신대방동","366-1","0366","0001","대명빌라","전세","64.4900","202604","27","31,100","0","3","1998","여의대방로22나길 75","202605~202805","갱신","사용","31,100","0","연립다세대"
"119","서울특별시 강서구 방화동","337-6","0337","0006","예담캐슬","월세","26.8700","202604","27","19,400","20","3","2020","금낭화로24길 34","202605~202805","신규","-","","","연립다세대"
"120","서울특별시 동작구 사당동","1050-15","1050","0015","어반팰리스사당","전세","25.6500","202604","27","28,500","0","5","2024","남부순환로259가길 27","202605~202805","신규","-","","","연립다세대"
"121","서울특별시 강서구 방화동","612-202","0612","0202","하이골드빌","월세","19.8400","202604","27","12,000","13","5","2019","방화동로5길 15-3","202605~202805","갱신","-","12,000","10","연립다세대"
"122","서울특별시 관악구 봉천동","180-72","0180","0072","(180-72)","월세","74.9300","202604","27","20,000","15","3","1993","인헌12나길 16","202605~202805","신규","-","","","연립다세대"
"123","서울특별시 서초구 방배동","807-22","0807","0022","방배하이빌10차","전세","44.5400","202604","27","57,700","0","6","2020","동광로22길 7","202605~202805","갱신","사용","55,000","0","연립다세대"
"124","서울특별시 서초구 방배동","455-13","0455","0013","방배동베스트빌","월세","23.2900","202604","27","2,500","63","3","2013","방배천로4안길 61-4","202605~202805","신규","-","","","연립다세대"
"125","서울특별시 강서구 내발산동","711-4","0711","0004","드림빌라","월세","71.0900","202604","27","20,790","4","2","2001","강서로47라길 56-14","202605~202805","갱신","사용","20,790","0","연립다세대"
"126","서울특별시 영등포구 양평동4가","161-3","0161","0003","제니스빌","월세","28.8800","202604","27","25,500","26","3","2018","선유로53길 7-1","202606~202806","갱신","-","25,500","20","연립다세대"
"127","서울특별시 관악구 봉천동","1626-7","1626","0007","(1626-7)","월세","96.3100","202604","27","500","30","1","1977","관악로14나길 7-9","202604~202704","신규","-","","","연립다세대"
"128","서울특별시 송파구 송파동","88-13","0088","0013","(88-13)","월세","33.1800","202604","27","6,000","80","5","2015","백제고분로42길 18-14","202606~202806","신규","-","","","연립다세대"
"129","서울특별시 송파구 송파동","117-9","0117","0009","대송리치빌","월세","84.9800","202604","27","48,700","30","5","2010","백제고분로44길 30","202608~202808","신규","-","","","연립다세대"
"130","서울특별시 강서구 화곡동","105-199","0105","0199","골드맨션","월세","59.8000","202604","27","14,800","20","3","2000","강서로26길 35-19","202606~202806","신규","-","","","연립다세대"
"131","서울특별시 강서구 화곡동","338-6","0338","0006","가이아팰리스","월세","25.7400","202604","27","5,000","80","5","2019","강서로20길 33","202606~202806","신규","-","","","연립다세대"
"132","서울특별시 금천구 독산동","234-3","0234","0003","예성빌리지","전세","72.2200","202604","27","21,000","0","1","1996","독산로96길 32-7","202604~202804","신규","-","","","연립다세대"
"133","서울특별시 송파구 송파동","102-15","0102","0015","아이리스빌","월세","39.8400","202604","27","21,000","3","3","2008","송이로2길 7","202605~202805","갱신","-","21,000","0","연립다세대"
"134","서울특별시 송파구 송파동","147-12","0147","0012","미소빌","월세","22.4100","202604","27","1,000","57","4","2014","가락로30길 13-1","202604~202804","신규","-","","","연립다세대"
"135","서울특별시 강서구 화곡동","869-23","0869","0023","삼성탑스빌","월세","36.1400","202604","27","5,000","65","4","2011","곰달래로31다길 36","202605~202805","신규","-","","","연립다세대"
"136","서울특별시 동작구 상도동","301-28","0301","0028","푸른주택","전세","29.4600","202604","27","24,300","0","4","2020","국사봉10길 65-5","202605~202805","신규","-","","","연립다세대"
"137","서울특별시 관악구 봉천동","1653-24","1653","0024","미림하이츠빌라","월세","58.2400","202604","27","1,000","77","-1","1993","인헌1다길 7","202604~202805","신규","-","","","연립다세대"
"138","서울특별시 은평구 대조동","49-50","0049","0050","거성리젠시","전세","50.4000","202604","27","16,800","0","4","2002","서오릉로 114-7","202604~202804","갱신","사용","16,000","0","연립다세대"
"139","서울특별시 서대문구 홍은동","401-7","0401","0007","(401-7)","월세","17.8000","202604","27","2,000","40","2","2011","거북골로 8-11","202604~202804","갱신","-","2,000","40","연립다세대"
"140","서울특별시 은평구 역촌동","10-56","0010","0056","스파티움10","월세","27.4000","202604","27","60","32","5","2020","역말로7길 3-11","202604~202806","신규","-","","","연립다세대"
"141","서울특별시 은평구 응암동","115-6","0115","0006","명진렉스빌","전세","80.2000","202604","27","1,000","0","2","2009","은평로8길 20-2","202604~202804","신규","-","","","연립다세대"
"142","서울특별시 은평구 응암동","124-30","0124","0030","위산렉스빌","전세","23.4200","202604","27","8,800","0","5","2012","응암로21가길 10-1","202605~202805","갱신","-","8,400","0","연립다세대"
"143","서울특별시 은평구 응암동","427-85","0427","0085","한강타운빌","월세","29.7500","202604","27","2,000","90","3","2016","응암로22길 9-6","202606~202806","신규","-","","","연립다세대"
"144","서울특별시 강서구 염창동","113-14","0113","0014","살렘하우스","전세","76.0100","202604","27","20,900","0","3","2001","양천로75길 46","202606~202806","갱신","-","20,900","0","연립다세대"
"145","서울특별시 마포구 성산동","223-2","0223","0002","(223-2)","전세","14.8200","202604","27","8,000","0","6","2012","성미산로 89","202605~202705","갱신","-","8,000","0","연립다세대"
"146","서울특별시 강북구 수유동","530-93","0530","0093","(530-93)","전세","25.5900","202604","27","7,540","0","1","1990","인수봉로73나길 5-5","202606~202806","신규","-","","","연립다세대"
"147","서울특별시 은평구 갈현동","482-20","0482","0020","휴먼아트빌","월세","42.6800","202604","27","7,200","30","4","2002","연서로27길 13-17","202604~202804","갱신","-","7,200","25","연립다세대"
"148","서울특별시 은평구 역촌동","22-26","0022","0026","명남아이소빌(22-26)","전세","72.1500","202604","27","20,700","0","3","2002","역말로 52-24","202606~202806","갱신","-","19,950","0","연립다세대"
"149","서울특별시 성북구 석관동","338-63","0338","0063","대흥베스트빌라","월세","48.2900","202604","27","15,750","5","2","2001","화랑로18바길 26","202604~202804","갱신","-","15,000","5","연립다세대"
"150","서울특별시 성북구 장위동","66-150","0066","0150","동양하이츠맨션8차","전세","55.6300","202604","27","16,000","0","2","1996","돌곶이로25길 40-6","202607~202807","갱신","-","14,000","0","연립다세대"
