"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"60","서울특별시 송파구 마천동","2**","8m미만","238.05","월세","202604","28","3,750","60","1985","성내천로53길","202605~202805","갱신","-","3,000","60","단독다가구"
"61","서울특별시 송파구 문정동","6*","12m미만","41.24","전세","202604","28","20,000","0","1994","문정로4길","202604~202804","갱신","-","19,000","0","단독다가구"
"62","서울특별시 송파구 석촌동","2**","8m미만","40.00","월세","202604","28","1,500","92","1994","가락로11길","202605~202805","신규","-","","","단독다가구"
"63","서울특별시 송파구 방이동","1**","8m미만","27.00","월세","202604","28","5,000","150","2026","양재대로71길","202604~202804","신규","-","","","단독다가구"
"64","서울특별시 강동구 명일동","2**","8m미만","50.00","월세","202604","28","3,000","50","1987","동남로67길","202607~202807","신규","-","","","단독다가구"
"65","서울특별시 송파구 방이동","1**","8m미만","33.00","월세","202604","28","500","75","1997","오금로19길","202604~202804","신규","-","","","단독다가구"
"66","서울특별시 강동구 암사동","4**","8m미만","30.00","월세","202604","28","0","35","1988","고덕로8길","202604~202804","신규","-","","","단독다가구"
"67","서울특별시 강동구 암사동","4**","8m미만","55.00","월세","202604","28","18,000","25","2001","암사길","202607~202807","신규","-","","","단독다가구"
"68","서울특별시 송파구 풍납동","4**","8m미만","45.00","월세","202604","28","15,000","50","1995","토성로15길","202605~202805","신규","-","","","단독다가구"
"69","서울특별시 송파구 삼전동","1**","8m미만","25.00","월세","202604","28","500","50","2001","백제고분로32길","202604~202804","신규","-","","","단독다가구"
"70","서울특별시 송파구 풍납동","3**","8m미만","18.00","월세","202604","28","2,000","50","1996","강동대로3길","202606~202806","신규","-","","","단독다가구"
"71","서울특별시 강동구 명일동","3**","8m미만","40.00","월세","202604","28","2,000","50","1993","양재대로136길","202605~202805","신규","-","","","단독다가구"
"72","서울특별시 강동구 성내동","3**","8m미만","35.00","전세","202604","28","16,000","0","1997","천호대로176길","202606~202805","신규","-","","","단독다가구"
"73","서울특별시 강동구 성내동","4**","12m미만","33.00","월세","202604","28","6,000","35","1993","천호대로170길","202605~202805","신규","-","","","단독다가구"
"74","서울특별시 송파구 오금동","1**","8m미만","20.00","월세","202604","27","4,000","15","1993","마천로25길","-","-","-","","","단독다가구"
"75","서울특별시 강동구 천호동","1**","12m미만","58.05","전세","202604","27","26,250","0","1978","성안로27길","202604~202804","갱신","-","25,000","0","단독다가구"
"76","서울특별시 강동구 성내동","3**","8m미만","26.75","전세","202604","27","15,000","0","2003","양재대로101길","202605~202805","신규","-","","","단독다가구"
"77","서울특별시 강동구 천호동","1*","8m미만","47.19","월세","202604","27","13,000","50","1999","구천면로","202605~202805","신규","-","","","단독다가구"
"78","서울특별시 송파구 석촌동","2**","8m미만","43.00","월세","202604","27","2,000","70","1996","가락로11길","202605~202805","신규","-","","","단독다가구"
"79","서울특별시 송파구 석촌동","2**","25m미만","40.00","월세","202604","27","5,000","62","1988","가락로","202605~202805","신규","-","","","단독다가구"
"80","서울특별시 강동구 성내동","2**","8m미만","35.00","전세","202604","27","13,000","0","1989","풍성로41길","202605~202805","갱신","-","12,000","0","단독다가구"
"81","서울특별시 강동구 천호동","1**","8m미만","19.83","전세","202604","27","10,000","0","2020","성안로31라길","202604~202804","신규","-","","","단독다가구"
"82","서울특별시 강동구 성내동","4**","8m미만","56.19","전세","202604","27","18,000","0","1997","양재대로89길","202604~202804","갱신","-","17,000","0","단독다가구"
"83","서울특별시 강동구 암사동","4**","8m미만","40.00","월세","202604","27","1,500","55","1993","암사1가길","202604~202804","갱신","-","1,500","50","단독다가구"
"84","서울특별시 강동구 성내동","4**","12m미만","40.00","전세","202604","27","14,800","0","1993","강동대로51길","202605~202805","신규","-","","","단독다가구"
"85","서울특별시 송파구 방이동","2**","12m미만","75.46","월세","202604","27","3,000","130","1988","위례성대로18길","202606~202806","신규","-","","","단독다가구"
"86","서울특별시 강서구 화곡동","9**","8m미만","117.23","월세","202604","27","28,000","10","1995","까치산로18길","202607~202807","신규","-","","","단독다가구"
"87","서울특별시 강서구 화곡동","1**","8m미만","51.80","월세","202604","27","5,000","50","1989","까치산로4라길","202605~202805","신규","-","","","단독다가구"
"88","서울특별시 동작구 상도동","2**","8m미만","18.00","월세","202604","27","500","45","2023","성대로21길","202604~202804","신규","-","","","단독다가구"
