시군구,번지,건물명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 동작구 신대방동,366-1,대명빌라,전세,64.49,"31,100",0,여의대방로22나길 75,연립다세대
서울특별시 강서구 방화동,337-6,예담캐슬,월세,26.87,"19,400",20,금낭화로24길 34,연립다세대
서울특별시 동작구 사당동,1050-15,어반팰리스사당,전세,25.65,"28,500",0,남부순환로259가길 27,연립다세대
서울특별시 강서구 방화동,612-202,하이골드빌,월세,19.84,"12,000",13,방화동로5길 15-3,연립다세대
서울특별시 관악구 봉천동,180-72,(180-72),월세,74.93,"20,000",15,인헌12나길 16,연립다세대
서울특별시 서초구 방배동,807-22,방배하이빌10차,전세,44.54,"57,700",0,동광로22길 7,연립다세대
서울특별시 서초구 방배동,455-13,방배동베스트빌,월세,23.29,"2,500",63,방배천로4안길 61-4,연립다세대
서울특별시 강서구 내발산동,711-4,드림빌라,월세,71.09,"20,790",4,강서로47라길 56-14,연립다세대
서울특별시 영등포구 양평동4가,161-3,제니스빌,월세,28.88,"25,500",26,선유로53길 7-1,연립다세대
서울특별시 관악구 봉천동,1626-7,(1626-7),월세,96.31,500,30,관악로14나길 7-9,연립다세대
서울특별시 송파구 송파동,88-13,(88-13),월세,33.18,"6,000",80,백제고분로42길 18-14,연립다세대
서울특별시 송파구 송파동,117-9,대송리치빌,월세,84.98,"48,700",30,백제고분로44길 30,연립다세대
서울특별시 강서구 화곡동,105-199,골드맨션,월세,59.8,"14,800",20,강서로26길 35-19,연립다세대
서울특별시 강서구 화곡동,338-6,가이아팰리스,월세,25.74,"5,000",80,강서로20길 33,연립다세대
서울특별시 금천구 독산동,234-3,예성빌리지,전세,72.22,"21,000",0,독산로96길 32-7,연립다세대
서울특별시 송파구 송파동,102-15,아이리스빌,월세,39.84,"21,000",3,송이로2길 7,연립다세대
서울특별시 송파구 송파동,147-12,미소빌,월세,22.41,"1,000",57,가락로30길 13-1,연립다세대
서울특별시 강서구 화곡동,869-23,삼성탑스빌,월세,36.14,"5,000",65,곰달래로31다길 36,연립다세대
