시군구,번지,전월세구분,계약면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 중랑구 망우동,3**,월세,47.82,"5,000",50,망우로67가길,단독다가구
서울특별시 동대문구 답십리동,2**,전세,42.16,"15,000",0,답십리로45길,단독다가구
서울특별시 성북구 상월곡동,2*,전세,28.13,"20,000",0,장월로2길,단독다가구
서울특별시 중랑구 중화동,3**,월세,33.0,"10,000",40,중랑역로21길,단독다가구
서울특별시 도봉구 도봉동,6**,월세,26.0,200,20,도봉로156길,단독다가구
서울특별시 도봉구 창동,2**,전세,90.84,"20,000",0,노해로63가길,단독다가구
서울특별시 은평구 갈현동,4**,월세,32.58,"8,000",30,통일로85길,단독다가구
서울특별시 은평구 갈현동,2**,월세,36.0,"5,500",20,갈현로27길,단독다가구
서울특별시 은평구 갈현동,4**,월세,73.89,600,40,갈현로31길,단독다가구
서울특별시 강북구 수유동,1**,월세,21.0,500,45,한천로139가길,단독다가구
서울특별시 마포구 신수동,3*,월세,41.37,500,55,독막로,단독다가구
서울특별시 강북구 미아동,3**,월세,25.5,"2,000",55,도봉로45길,단독다가구
서울특별시 서대문구 북가좌동,3**,월세,60.0,"2,000",95,증가로29길,단독다가구
서울특별시 서대문구 북가좌동,2**,월세,71.79,"12,000",20,증가로28길,단독다가구
서울특별시 강북구 번동,4**,월세,51.34,"1,000",60,덕릉로,단독다가구
서울특별시 마포구 공덕동,1**,전세,29.75,"14,000",0,만리재옛6길,단독다가구
서울특별시 은평구 대조동,1**,월세,39.0,"1,000",55,통일로73길,단독다가구
서울특별시 서대문구 연희동,4**,전세,62.25,"60,000",0,연희로11마길,단독다가구
서울특별시 강북구 번동,4**,전세,34.34,"10,000",0,한천로,단독다가구
서울특별시 도봉구 방학동,6**,월세,199.6,400,32,도당로,단독다가구
서울특별시 은평구 불광동,3**,월세,51.75,"15,500",3,통일로78가길,단독다가구
서울특별시 서대문구 창천동,2**,월세,17.0,300,50,신촌로1안길,단독다가구
서울특별시 서대문구 홍은동,2**,월세,60.3,"8,000",30,모래내로17길,단독다가구
서울특별시 서대문구 홍제동,2**,전세,52.92,"17,000",0,세무서길,단독다가구
서울특별시 은평구 응암동,5**,월세,34.06,500,35,불광천길,단독다가구
서울특별시 은평구 응암동,9*,월세,42.0,500,40,은평로12길,단독다가구
서울특별시 도봉구 도봉동,6**,월세,70.68,"13,000",35,마들로,단독다가구
서울특별시 관악구 봉천동,6**,월세,21.2,"1,000",60,봉천로23가길,단독다가구
서울특별시 서초구 서초동,1***,월세,22.0,"3,000",45,서초대로48길,단독다가구
서울특별시 관악구 봉천동,1**,월세,30.0,"1,000",45,인헌12가길,단독다가구
서울특별시 송파구 잠실동,2**,전세,37.6,"17,000",0,올림픽로12길,단독다가구
서울특별시 관악구 신림동,9*,월세,18.0,500,30,신림로48가길,단독다가구
서울특별시 서초구 방배동,4**,월세,18.0,"1,000",60,방배천로2안길,단독다가구
서울특별시 서초구 방배동,9**,월세,46.25,"10,000",60,방배로16길,단독다가구
서울특별시 관악구 신림동,6**,월세,33.0,"1,000",90,난곡로30가길,단독다가구
서울특별시 관악구 신림동,5**,월세,40.0,500,30,법원단지5나길,단독다가구
서울특별시 동작구 사당동,4**,월세,26.0,"16,500",8,남부순환로263길,단독다가구
서울특별시 동작구 신대방동,6**,월세,15.0,100,10,신대방1가길,단독다가구
서울특별시 송파구 잠실동,2**,월세,30.0,"5,000",79,백제고분로19길,단독다가구
서울특별시 동작구 상도1동,8**,월세,18.0,500,37,상도로38길,단독다가구
서울특별시 관악구 봉천동,6**,월세,76.84,"5,000",95,국회단지11길,단독다가구
서울특별시 관악구 남현동,1***,월세,20.0,"1,000",50,남부순환로266길,단독다가구
서울특별시 관악구 봉천동,1***,월세,20.0,"4,000",45,남부순환로247길,단독다가구
서울특별시 관악구 봉천동,6**,월세,33.0,"1,000",70,봉천로23다길,단독다가구
서울특별시 관악구 남현동,6**,월세,133.52,"7,000",220,승방1길,단독다가구
서울특별시 관악구 남현동,1***,전세,37.1,"16,000",0,남현2길,단독다가구
서울특별시 관악구 봉천동,1**,월세,18.0,500,40,행운8길,단독다가구
서울특별시 관악구 봉천동,1***,전세,15.0,"12,000",0,남부순환로,단독다가구
서울특별시 관악구 봉천동,1***,월세,15.0,200,30,봉천로,단독다가구
서울특별시 관악구 봉천동,1***,월세,24.0,300,42,쑥고개로16길,단독다가구
서울특별시 송파구 잠실동,2**,월세,26.4,"1,000",72,백제고분로7길,단독다가구
서울특별시 서초구 양재동,9*,전세,61.11,"31,500",0,양재천로,단독다가구
서울특별시 서초구 양재동,*,월세,25.1,"12,500",22,남부순환로358길,단독다가구
서울특별시 관악구 봉천동,1**,월세,16.5,"2,000",55,낙성대역12길,단독다가구
서울특별시 관악구 신림동,4**,월세,24.0,500,30,신림로41길,단독다가구
서울특별시 관악구 신림동,9*,월세,45.0,"2,000",85,신림로48가길,단독다가구
서울특별시 관악구 신림동,1***,월세,18.0,"1,000",48,관천로22길,단독다가구
서울특별시 관악구 신림동,4**,월세,20.02,"1,000",57,서원6길,단독다가구
서울특별시 동작구 신대방동,6**,월세,17.0,300,37,대림로,단독다가구
서울특별시 동작구 신대방동,3**,월세,18.02,"1,000",55,보라매로7가길,단독다가구
서울특별시 관악구 신림동,1***,월세,18.0,500,40,조원로4길,단독다가구
서울특별시 종로구 구기동,6*,월세,59.06,"10,000",50,세검정로9길,단독다가구
서울특별시 성동구 성수동2가,3**,전세,49.24,"16,000",0,성덕정11길,단독다가구
서울특별시 광진구 중곡동,6**,월세,82.99,"11,000",10,동일로76가길,단독다가구
서울특별시 송파구 가락동,1**,월세,27.0,500,50,동남로9길,단독다가구
서울특별시 영등포구 신길동,4**,월세,72.0,"1,000",60,대방천로,단독다가구
서울특별시 동작구 상도동,2**,월세,42.75,"1,000",95,양녕로22바길,단독다가구
서울특별시 구로구 구로동,1**,월세,27.0,800,35,구로중앙로5길,단독다가구
서울특별시 금천구 가산동,1**,월세,25.0,"1,000",45,남부순환로108길,단독다가구
서울특별시 금천구 시흥동,8**,전세,27.0,"8,000",0,시흥대로70길,단독다가구
서울특별시 금천구 시흥동,8**,전세,57.57,"13,500",0,독산로,단독다가구
서울특별시 금천구 독산동,1***,전세,17.0,"3,300",0,독산로72길,단독다가구
서울특별시 금천구 시흥동,8**,월세,28.8,"1,000",40,금하로,단독다가구
서울특별시 영등포구 대림동,1***,전세,26.54,"24,500",0,대림로7다길,단독다가구
서울특별시 영등포구 신길동,3**,월세,30.0,500,41,도림로85길,단독다가구
서울특별시 동작구 상도동,1**,월세,22.02,"2,000",50,성대로31길,단독다가구
서울특별시 서대문구 홍은동,2**,월세,38.08,"1,000",40,연희로41가길,단독다가구
서울특별시 은평구 응암동,3**,월세,35.0,"2,000",60,응암로14길,단독다가구
서울특별시 마포구 합정동,4**,전세,26.46,"15,500",0,희우정로,단독다가구
서울특별시 노원구 상계동,1**,월세,25.48,300,35,상계로31길,단독다가구
서울특별시 성북구 동선동3가,9*,전세,46.58,"20,500",0,동소문로26라길,단독다가구
서울특별시 성북구 하월곡동,6*,월세,15.0,500,38,화랑로5가길,단독다가구
서울특별시 광진구 화양동,1*,월세,19.8,500,60,아차산로33길,단독다가구
서울특별시 성북구 정릉동,2**,전세,57.33,"14,000",0,보국문로8다길,단독다가구
서울특별시 성북구 삼선동4가,*,월세,105.0,"20,000",150,삼선교로11길,단독다가구
서울특별시 성북구 삼선동4가,3**,월세,28.0,300,32,삼선교로23가길,단독다가구
서울특별시 성북구 석관동,2**,월세,16.2,"1,000",60,돌곶이로17길,단독다가구
서울특별시 중랑구 망우동,6**,월세,34.86,"5,000",90,양원역로14길,단독다가구
서울특별시 성북구 하월곡동,3*,월세,23.0,500,30,월곡로18길,단독다가구
서울특별시 광진구 화양동,*,월세,18.0,100,68,아차산로31길,단독다가구
서울특별시 성북구 종암동,*,전세,46.04,"10,000",0,종암로10길,단독다가구
서울특별시 중랑구 면목동,9*,전세,112.04,"25,000",0,상봉로17길,단독다가구
서울특별시 중랑구 면목동,5**,전세,13.0,300,0,면목로61길,단독다가구
서울특별시 중랑구 면목동,1**,전세,28.72,"3,500",0,면목로60길,단독다가구
서울특별시 중랑구 면목동,1**,월세,51.64,"15,000",20,동일로92길,단독다가구
서울특별시 성북구 삼선동1가,2**,월세,20.0,500,40,삼선교로4나길,단독다가구
서울특별시 성북구 정릉동,1*,전세,67.11,"5,000",0,정릉로32가길,단독다가구
서울특별시 동대문구 전농동,2**,월세,24.5,500,30,전농로29길,단독다가구
서울특별시 중랑구 묵동,2**,월세,16.61,"1,000",50,동일로163길,단독다가구
서울특별시 동대문구 이문동,1**,월세,112.92,100,30,신이문로22길,단독다가구
서울특별시 성북구 안암동2가,1**,월세,41.31,"3,000",100,고려대로17가길,단독다가구
서울특별시 동대문구 용두동,3*,월세,18.4,"3,000",35,천호대로35길,단독다가구
서울특별시 동대문구 용두동,3*,월세,12.47,"5,000",12,천호대로43길,단독다가구
서울특별시 강동구 강일동,6**,전세,141.41,"55,000",0,아리수로93가길,단독다가구
서울특별시 송파구 석촌동,2**,월세,36.3,"2,000",110,삼학사로8길,단독다가구
서울특별시 강동구 성내동,4*,월세,36.27,"13,000",10,올림픽로62길,단독다가구
서울특별시 강동구 성내동,7*,전세,28.41,"4,500",0,올림픽로62길,단독다가구
서울특별시 강동구 성내동,3**,월세,82.41,"20,000",50,천호대로,단독다가구
서울특별시 송파구 거여동,6**,월세,45.4,"30,000",6,위례북로1길,단독다가구
서울특별시 강동구 천호동,5**,월세,45.18,"14,680",10,진황도로25길,단독다가구
서울특별시 강동구 성내동,2**,월세,20.0,"1,300",40,풍성로39길,단독다가구
서울특별시 강동구 길동,3**,월세,63.02,"8,000",40,천중로38가길,단독다가구
서울특별시 강동구 길동,3**,전세,55.0,"17,000",0,천중로38가길,단독다가구
서울특별시 강동구 길동,3**,전세,85.0,"36,750",0,양재대로114길,단독다가구
서울특별시 강동구 성내동,1**,전세,35.0,"15,000",0,올림픽로58길,단독다가구
서울특별시 강동구 성내동,3**,전세,31.14,"11,000",0,천호대로170길,단독다가구
서울특별시 송파구 석촌동,1**,월세,46.18,"9,500",20,백제고분로39길,단독다가구
서울특별시 송파구 석촌동,2**,전세,47.0,"24,000",0,송파대로43길,단독다가구
서울특별시 송파구 석촌동,2**,월세,19.8,"3,000",85,가락로13길,단독다가구
서울특별시 강동구 명일동,2**,월세,53.58,"13,600",15,상암로63길,단독다가구
서울특별시 관악구 신림동,1***,월세,23.0,300,50,호암로26가길,단독다가구
서울특별시 서초구 양재동,*,전세,31.6,"24,000",0,바우뫼로39길,단독다가구
서울특별시 동작구 사당동,2**,월세,19.0,"12,000",9,솔밭로,단독다가구
서울특별시 관악구 신림동,1***,월세,39.0,"10,000",110,봉천로6길,단독다가구
서울특별시 서초구 양재동,1**,월세,43.0,"13,000",55,양재천로19길,단독다가구
서울특별시 서초구 서초동,1***,전세,45.0,"40,000",0,서운로9길,단독다가구
서울특별시 관악구 남현동,1***,월세,22.0,"1,000",60,남부순환로260가길,단독다가구
서울특별시 동작구 흑석동,2**,월세,20.0,400,43,흑석로5길,단독다가구
서울특별시 관악구 신림동,5**,전세,24.09,"10,000",0,조원로18길,단독다가구
서울특별시 관악구 봉천동,8**,월세,29.0,"15,000",50,쑥고개로21길,단독다가구
서울특별시 관악구 신림동,5**,월세,17.0,100,41,조원로18길,단독다가구
서울특별시 관악구 신림동,1*,월세,20.0,"5,000",20,남부순환로196길,단독다가구
서울특별시 관악구 신림동,1**,월세,18.0,500,42,신림로22길,단독다가구
서울특별시 관악구 신림동,4**,월세,18.02,200,50,서원6길,단독다가구
서울특별시 서초구 방배동,4**,월세,34.0,500,60,청두곶길,단독다가구
서울특별시 동작구 대방동,4**,전세,25.0,"15,000",0,여의대방로24나길,단독다가구
서울특별시 관악구 신림동,1***,월세,58.44,"3,000",75,신림로53길,단독다가구
서울특별시 관악구 봉천동,1***,월세,21.0,"4,000",57,봉천로,단독다가구
서울특별시 관악구 봉천동,1***,월세,19.0,"5,000",20,행운2길,단독다가구
서울특별시 관악구 봉천동,1**,월세,18.0,"3,000",30,인헌12나길,단독다가구
서울특별시 관악구 봉천동,1***,월세,18.0,"2,000",35,인헌9길,단독다가구
서울특별시 관악구 봉천동,1***,월세,80.6,"24,050",21,인헌1가길,단독다가구
서울특별시 관악구 봉천동,8**,전세,75.66,"26,050",0,양녕로6길,단독다가구
서울특별시 관악구 봉천동,6**,월세,19.02,"1,000",60,봉천로23다길,단독다가구
서울특별시 관악구 봉천동,1***,월세,34.83,"12,000",55,행운2길,단독다가구
서울특별시 관악구 봉천동,9**,월세,60.0,"23,000",50,봉천로33가길,단독다가구
서울특별시 관악구 신림동,1**,월세,16.52,200,48,복은2길,단독다가구
서울특별시 동작구 사당동,8*,전세,79.3,"31,500",0,동작대로33길,단독다가구
서울특별시 관악구 신림동,1***,월세,199.89,"10,000",13,조원로4길,단독다가구
서울특별시 광진구 구의동,2**,월세,33.0,"2,000",80,자양로18길,단독다가구
서울특별시 용산구 청파동2가,1*,월세,20.0,"5,000",31,청파로57길,단독다가구
서울특별시 광진구 자양동,*,전세,30.0,"18,200",0,동일로20길,단독다가구
서울특별시 성동구 성수동1가,6**,월세,25.0,"1,000",70,상원1길,단독다가구
서울특별시 광진구 구의동,4*,월세,52.88,"1,000",35,자양로,단독다가구
서울특별시 광진구 구의동,7*,월세,77.29,"15,000",150,천호대로134길,단독다가구
서울특별시 광진구 구의동,5*,월세,45.0,"1,000",85,자양로45길,단독다가구
서울특별시 광진구 구의동,2**,월세,19.83,"2,000",45,자양로32길,단독다가구
서울특별시 광진구 구의동,2**,월세,19.0,"5,000",40,구의로3길,단독다가구
서울특별시 광진구 자양동,4*,월세,21.0,100,25,뚝섬로32길,단독다가구
