시군구,번지,단지명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 강서구 화곡동,1170,우장산역해링턴타워,월세,43.04,"9,977",69,강서로 231,아파트
서울특별시 구로구 구로동,74-30,현대,전세,72.33,"39,000",0,구로중앙로18길 68,아파트
서울특별시 마포구 도화동,564,마포동원베네스트,월세,58.65,"20,000",130,도화4길 41,아파트
서울특별시 구로구 구로동,685-70,현대연예인,월세,54.86,"28,500",10,구일로4길 46,아파트
서울특별시 마포구 서교동,494,서교동효성해링턴타워,월세,17.93,"5,350",44,양화로 72,아파트
서울특별시 구로구 구로동,685-222,주공1,월세,73.08,"25,000",50,구일로4길 65,아파트
서울특별시 구로구 구로동,685-222,주공1,월세,84.87,"5,000",150,구일로4길 65,아파트
서울특별시 강서구 마곡동,750,마곡엠벨리(14단지),전세,84.85,"57,096",0,마곡중앙로 33,아파트
서울특별시 양천구 신정동,1327,호반써밋목동,전세,84.9224,"81,900",0, ,아파트
서울특별시 강서구 마곡동,750,마곡엠벨리(14단지),전세,84.74,"57,096",0,마곡중앙로 33,아파트
서울특별시 양천구 신월동,987-1,신월시영,전세,43.2,"17,000",0,신월로 99,아파트
서울특별시 마포구 신공덕동,159,신공덕래미안2차,전세,59.48,"60,000",0,만리재로 74,아파트
서울특별시 강서구 등촌동,631-9,대동황토방,전세,114.97,"68,000",0,공항대로59길 103,아파트
서울특별시 강서구 마곡동,751,마곡엠벨리(15단지),전세,59.79,"48,048",0,마곡중앙로 36,아파트
서울특별시 마포구 도화동,353,현대홈타운,전세,84.95,"66,000",0,새창로8길 72,아파트
서울특별시 영등포구 당산동4가,29,한강아파트,월세,84.98,"61,000",45,영신로57길 5,아파트
서울특별시 구로구 오류동,357,오류동행복주택,월세,44.83,"12,625",15,경인로20가길 68,아파트
서울특별시 동작구 상도동,535,두산위브트레지움2차,전세,59.7852,"49,140",0,상도로30길 40,아파트
서울특별시 구로구 고척동,334,벽산,전세,84.878,"52,000",0,경인로 390,아파트
서울특별시 구로구 오류동,357,오류동행복주택,월세,29.76,"9,593",15,경인로20가길 68,아파트
서울특별시 구로구 오류동,347,오류동금호어울림,전세,84.93,"50,000",0,고척로 41,아파트
서울특별시 구로구 오류동,343,금강(343),전세,84.983,"40,500",0,오리로 1197,아파트
서울특별시 금천구 시흥동,1011,우방,전세,59.91,"34,000",0,금하로 750,아파트
서울특별시 영등포구 양평동3가,103,태승훼밀리,전세,84.89,"73,000",0,선유서로34길 6,아파트
서울특별시 구로구 천왕동,281,천왕연지타운2단지,전세,59.95,"16,357",0,오리로 1102-10,아파트
서울특별시 영등포구 문래동5가,67,문래모아미래도,전세,59.9,"42,198",0,선유로9나길 5,아파트
서울특별시 금천구 독산동,1147,금천롯데캐슬골드파크1차,전세,84.4417,"51,480",0,벚꽃로 40,아파트
서울특별시 금천구 독산동,1088,독산주공14단지,전세,38.64,"14,000",0,한내로 69-54,아파트
서울특별시 구로구 개봉동,497,센트레빌레우스1단지,월세,84.9716,"27,891",48,경인로 302,아파트
서울특별시 구로구 개봉동,481,현대,전세,84.96,"60,000",0,개봉로20길 6,아파트
서울특별시 영등포구 영등포동2가,28-117,이지리움S,월세,13.35,"12,100",5,국회대로54길 65,아파트
서울특별시 영등포구 당산동3가,559,쌍용예가클래식,전세,106.56,"77,500",0,당산로31길 32,아파트
서울특별시 영등포구 당산동1가,16-1,진로,전세,84.87,"70,000",0,당산로 68,아파트
서울특별시 동작구 상도동,536,상도효성해링턴플레이스,전세,59.9769,"48,828",0,상도로 207,아파트
서울특별시 동작구 흑석동,28,한강현대,월세,66.225,"15,000",185,현충로 151,아파트
서울특별시 동작구 사당동,105,신동아4,전세,59.89,"55,000",0,동작대로29길 110,아파트
서울특별시 동작구 사당동,105,극동(105),전세,84.32,"60,000",0,동작대로29길 119,아파트
서울특별시 동작구 노량진동,54-4,더써밋타워,월세,34.72,"16,600",72,장승배기로 174,아파트
서울특별시 금천구 시흥동,1010,벽산,전세,59.94,"28,000",0,금하로 793,아파트
서울특별시 관악구 봉천동,1718,벽산블루밍,전세,59.99,"45,000",0,은천로 93,아파트
서울특별시 관악구 봉천동,1598-49,뉴그린아파트,월세,83.75,"55,000",20,관악로6길 99,아파트
서울특별시 동작구 노량진동,54-4,더써밋타워,월세,18.3,"9,400",42,장승배기로 174,아파트
서울특별시 동작구 노량진동,328,힐스테이트장승배기역,전세,44.9692,"33,228",0,상도로 195,아파트
서울특별시 동작구 상도동,531,힐스테이트 상도 센트럴파크,전세,59.8758,"66,150",0,상도로 346-1,아파트
서울특별시 동작구 사당동,169-32,현대,월세,59.96,"25,000",45,사당로17길 111,아파트
서울특별시 송파구 송파동,58-4,레이크해모로,전세,84.73,"77,700",0,오금로 126,아파트
서울특별시 송파구 송파동,151,2차한양아파트,월세,84.92,"20,000",140,가락로 192,아파트
서울특별시 영등포구 신길동,255-9,신길AK푸르지오,전세,49.6104,"60,000",0,가마산로 483,아파트
서울특별시 동작구 사당동,1008-1,스타팰리스이수,월세,18.08,"10,800",42,동작대로17길 5,아파트
서울특별시 서대문구 홍은동,468,북한산두산위브2차,월세,56.9161,"20,000",120, ,아파트
서울특별시 노원구 중계동,512,중계무지개,전세,39.96,"21,000",0,동일로208길 19,아파트
서울특별시 노원구 상계동,730-2,상계주공3(고층),월세,84.38,"19,000",120,동일로215길 48,아파트
서울특별시 은평구 응암동,768,백련산해모로,월세,59.93,"43,125",9,응암로30길 15,아파트
서울특별시 서대문구 북가좌동,460,DMC이랜드해가든,전세,84.91,"65,000",0,수색로 157,아파트
서울특별시 노원구 중계동,358-2,주공4,월세,59.39,"20,000",50,덕릉로76길 29,아파트
서울특별시 은평구 증산동,244,DMC우방,전세,59.91,"35,000",0,증산로3길 26-1,아파트
서울특별시 노원구 하계동,273,장미(시영6),월세,39.78,"2,000",84,섬밭로 196,아파트
서울특별시 노원구 월계동,774,청백(774),월세,34.44,"1,013",12,초안산로 89,아파트
서울특별시 마포구 아현동,732,삼환나띠르빌,월세,84.9,"51,300",70,마포대로 183-16,아파트
서울특별시 노원구 상계동,652,상계주공11(고층),월세,60.5,"9,000",100,동일로227길 85,아파트
서울특별시 노원구 공릉동,366-15,테라파크뷰,전세,52.16,"43,000",0,동일로192다길 51,아파트
서울특별시 은평구 진관동,29,구파발10단지어울림(1020~1028동)임대BL3-5,전세,84.69,"25,117",0,북한산로 2,아파트
서울특별시 마포구 아현동,777,마포래미안푸르지오2단지,전세,59.9452,"80,000",0,마포대로 195,아파트
서울특별시 서대문구 홍제동,463,문화촌현대,전세,59.94,"46,000",0,문화촌길 6-24,아파트
서울특별시 노원구 상계동,730-2,상계주공3(고층),월세,41.3,"2,000",90,동일로215길 48,아파트
서울특별시 노원구 상계동,730-2,상계주공3(고층),월세,84.38,"19,000",110,동일로215길 48,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,24.2466,"9,500",36,통일로 767,아파트
서울특별시 은평구 대조동,241,베르디움STAY1,월세,48.9148,"26,100",16,통일로 767,아파트
서울특별시 노원구 상계동,626,상계주공14(고층),전세,49.94,"20,000",0,동일로228길 23,아파트
서울특별시 은평구 진관동,101,박석고개1단지힐스테이트(101~111동)BL2-12,전세,84.49,"57,000",0,진관1로 21-9,아파트
서울특별시 은평구 응암동,770-5,드림타워녹번역,전세,66.19,"49,000",0,은평로20나길 1,아파트
서울특별시 노원구 중계동,359-1,주공5,월세,76.51,"10,000",175,중계로 230,아파트
서울특별시 노원구 상계동,730-2,상계주공3(고층),월세,84.38,"19,000",120,동일로215길 48,아파트
서울특별시 노원구 상계동,666,상계주공10(저층),월세,47.34,"2,000",80,노원로 564,아파트
서울특별시 서대문구 충정로3가,465,충정리시온,전세,45.89,"43,000",0,서소문로 27,아파트
서울특별시 노원구 상계동,730-2,상계주공3(고층),월세,41.3,"2,000",90,동일로215길 48,아파트
서울특별시 서대문구 냉천동,260,동부센트레빌,전세,84.93,"70,000",0,독립문로14길 74,아파트
서울특별시 노원구 상계동,749-5,상계주공4(고층),전세,73.94,"40,400",0,동일로214길 21,아파트
서울특별시 노원구 상계동,720,상계주공6(고층),월세,41.3,"2,000",90,노해로 508,아파트
서울특별시 노원구 월계동,13,삼호3,전세,59.22,"19,400",0,마들로 111,아파트
서울특별시 노원구 중계동,502-1,중계그린1단지,전세,59.22,"28,000",0,동일로207길 17,아파트
서울특별시 서대문구 천연동,145,천연뜨란채,월세,57.78,"10,000",200,독립문로8길 54,아파트
서울특별시 은평구 신사동,365,신사동한신휴플러스,월세,84.65,"35,000",50,갈현로1길 31,아파트
서울특별시 노원구 공릉동,745,동신아파트,월세,114.98,300,40,공릉로 213,아파트
서울특별시 노원구 월계동,781,청백4,월세,59.4,"1,000",25,월계로45가길 94,아파트
서울특별시 노원구 공릉동,428-7,공릉행복주택,월세,36.48,"8,400",34,공릉로51길 20,아파트
서울특별시 노원구 월계동,939,월계흥화브라운빌,전세,84.98,"33,500",0,우이천로2나길 14,아파트
서울특별시 서초구 잠원동,60-3,메이플자이,전세,43.0502,"68,640",0,신반포로 251,아파트
서울특별시 서초구 내곡동,411,서초더샵포레,전세,59.88,"48,828",0,헌릉로8길 58,아파트
서울특별시 송파구 거여동,697,송파시그니처롯데캐슬,월세,39.9,"14,699",44,거마로 56,아파트
서울특별시 송파구 거여동,696,e편한세상송파파크센트럴,전세,84.96,"70,000",0,오금로 551,아파트
서울특별시 서초구 잠원동,60-3,메이플자이,전세,43.0502,"68,640",0,신반포로 251,아파트
서울특별시 서초구 잠원동,60-3,메이플자이,전세,43.0502,"68,640",0,신반포로 251,아파트
서울특별시 서초구 서초동,1687,유원서초,월세,84.87,"60,000",110,서초중앙로24길 43,아파트
서울특별시 서초구 서초동,1488-9,서신,전세,32.76,"25,524",0,명달로 48,아파트
